root,root,root
	PatientsData,root/PatientsData,mainDirectory
		PatientsHome,root/PatientsData/PatientsHome,PatientsHome_Directory
			Patient-B,root/PatientsData/PatientsHome/Patient-B,folder
				Patient-C,root/PatientsData/PatientsHome/Patient-C,folder
				report-5.txt,root/PatientsData/PatientsHome/Patient-C/report-5.txt.txt,.txt
				report-6.txt,root/PatientsData/PatientsHome/Patient-C/report-6.txt.txt,.txt
			report-3.txt,root/PatientsData/PatientsHome/Patient-B/report-3.txt.txt,.txt
			report-4.txt,root/PatientsData/PatientsHome/Patient-B/report-4.txt.txt,.txt
			report-1.txt,root/PatientsData/PatientsHome/Patient-A/report-1.txt.txt,.txt
			report-2.txt,root/PatientsData/PatientsHome/Patient-A/report-2.txt.txt,.txt
	PatientsList.txt,root/PatientsData/PatientsList.txt,PatientsList_Directory
Logs,root/Logs,mainDirectory
	LogsHome,root/Logs/LogsHome,LogsHome_Directory
LogsReport.pdf,root/Logs/LogsReport.pdf,LogsReport_Directory
